Performance Statistics   2021-12-03 11:30:00 - 2021-12-03 11:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sec$Group.lookup#create                                  1,0           1           1         0,0           1
sec$Group.lookup#init                                   52,0          52          52         0,0           1
sec$Group.lookup#inject                                  5,0           5           5         0,0           1
sec$Group.lookup#load                                  140,0         140         140         0,0           1
sec$Group.lookup#uiPermissions                           0,0           0           0         0,0           1
sec$Group.lookup#xml                                     3,6           0          18         7,2           5
sec$Group.lookup.lookupWindowActions#init                0,0           0           0         0,0           1
sec$Group.lookup@groupsDs                               13,0          13          13         0,0           1

Performance Statistics   2021-12-03 11:48:00 - 2021-12-03 11:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
EmployeeDepartmentPositionListFrame#create               2,0           2           2         0,0           1
EmployeeDepartmentPositionListFrame#xml                  0,0           0           0         0,0           2
avatarImageFrame#create                                  3,0           3           3         0,0           1
avatarImageFrame#xml                                     0,5           0           1         0,5           2
df$Employee.edit#afterShow                               0,0           0           0         0,0           1
df$Employee.edit#beforeShow                              0,0           0           0         0,0           1
df$Employee.edit#create                                  1,0           1           1         0,0           1
df$Employee.edit#init                                    2,0           2           2         0,0           1
df$Employee.edit#inject                                  8,0           8           8         0,0           1
df$Employee.edit#load                                  624,0         624         624         0,0           1
df$Employee.edit#uiPermissions                           0,0           0           0         0,0           1
df$Employee.edit#xml                                     3,0           0          15         6,0           5
df$Employee.edit.embeddedImageFrame#init                 0,0           0           0         0,0           1
df$Employee.edit.embeddedImageFrame#inject               4,0           4           4         0,0           1
df$Employee.edit.embeddedImageFrame#load                 0,0           0           0         0,0           1
df$Employee.edit.employeeDepartmentFrame#init            0,0           0           0         0,0           1
df$Employee.edit.employeeDepartmentFrame#inject          4,0           4           4         0,0           1
df$Employee.edit.employeeDepartmentFrame#load            0,0           0           0         0,0           1
df$Employee.edit.employeeDepartmentFrame@employeeDepartmentsDs        30,0          30          30         0,0           1
df$Employee.edit.employeeDepartmentFrame@employeePositionsDs        26,0          26          26         0,0           1
df$Employee.edit.facsimileImageFrame#init                0,0           0           0         0,0           1
df$Employee.edit.facsimileImageFrame#inject             11,0          11          11         0,0           1
df$Employee.edit.facsimileImageFrame#load                6,0           6           6         0,0           1
df$Employee.edit.windowActions#init                      0,0           0           0         0,0           1
df$Employee.edit.windowActions#inject                    0,0           0           0         0,0           1
df$Employee.edit.windowActions#load                      0,0           0           0         0,0           1
df$Employee.edit@usersDs                                41,0          34          48         7,0           2
editWindowActions#create                                 1,0           1           1         0,0           1
editWindowActions#xml                                    0,0           0           0         0,0           2
facsimileImageFrame#create                               2,0           2           2         0,0           1
facsimileImageFrame#xml                                  0,0           0           0         0,0           2
sec$User.browse@usersDs                                  8,0           8           8         0,0           1

Performance Statistics   2021-12-03 11:50:00 - 2021-12-03 11:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2021-12-03 11:52:00 - 2021-12-03 11:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
CardDeadlineDatasource#loadTree                         32,0          32          32         0,0           1
TDS null                                                33,0          33          33         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                       0,0           0           0         0,0           1
loginWindow#init                                         0,0           0           0         0,0           1
loginWindow#inject                                       0,0           0           0         0,0           1
loginWindow#load                                         1,0           1           1         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                          0,0           0           0         0,0           2

Performance Statistics   2021-12-03 11:54:00 - 2021-12-03 11:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
CardDeadlineDatasource#loadTree                         28,3           8          81        30,5           4
MenuItem.df$SimpleDoc.browse                          2443,0        2443        2443         0,0           1
MenuItem.docCreatorItem                                321,0         321         321         0,0           1
TDS null                                                29,8           9          81        29,7           4
actionsFrame#create                                      2,0           2           2         0,0           1
actionsFrame#xml                                         0,0           0           0         0,0           2
addresseesFrame#create                                   2,0           2           2         0,0           1
addresseesFrame#xml                                      0,5           0           1         0,5           2
cardAttachmentsFrame#create                             91,5           2         181        89,5           2
cardAttachmentsFrame#xml                                 0,3           0           1         0,4           4
cardCommentFrame#create                                 62,0          62          62         0,0           1
cardCommentFrame#xml                                     0,5           0           1         0,5           2
cardCommentTextAreaFrame#create                         55,0          55          55         0,0           1
cardCommentTextAreaFrame#xml                             0,0           0           0         0,0           2
cardProjectsFrame#create                                 2,0           2           2         0,0           1
cardProjectsFrame#xml                                    0,0           0           0         0,0           2
cardRolesFrame#create                                    3,0           2           4         1,0           2
cardRolesFrame#xml                                       0,3           0           1         0,4           4
cardTreeFrame#create                                     0,5           0           1         0,5           2
cardTreeFrame#xml                                        0,0           0           0         0,0           4
df$SimpleDoc.browse#afterShow                            0,0           0           0         0,0           1
df$SimpleDoc.browse#beforeShow                           0,0           0           0         0,0           1
df$SimpleDoc.browse#create                               2,0           2           2         0,0           1
df$SimpleDoc.browse#init                               101,0         101         101         0,0           1
df$SimpleDoc.browse#inject                               9,0           9           9         0,0           1
df$SimpleDoc.browse#load                                98,0          98          98         0,0           1
df$SimpleDoc.browse#uiPermissions                        0,0           0           0         0,0           1
df$SimpleDoc.browse#xml                                 12,0           0          24        12,0           2
df$SimpleDoc.browse.cardTreeFrame#init                   0,0           0           0         0,0           1
df$SimpleDoc.browse.cardTreeFrame#inject                 0,0           0           0         0,0           1
df$SimpleDoc.browse.cardTreeFrame#load                   1,0           1           1         0,0           1
df$SimpleDoc.browse.cardTreeFrame@cardTreeDs             0,0           0           0         0,0           1
df$SimpleDoc.browse.lookupWindowActions#init             0,0           0           0         0,0           1
df$SimpleDoc.browse.resolutionsFrame#init                0,0           0           0         0,0           1
df$SimpleDoc.browse.resolutionsFrame#inject              0,0           0           0         0,0           1
df$SimpleDoc.browse.resolutionsFrame#load                1,0           1           1         0,0           1
df$SimpleDoc.browse.resolutionsFrame@resolutionsDs        15,0          15          15         0,0           1
df$SimpleDoc.browse@cardsDs                            111,0         111         111         0,0           1
df$SimpleDoc.edit#afterShow                              0,0           0           0         0,0           1
df$SimpleDoc.edit#beforeShow                             3,0           3           3         0,0           1
df$SimpleDoc.edit#companion                              1,0           1           1         0,0           1
df$SimpleDoc.edit#create                                 7,0           7           7         0,0           1
df$SimpleDoc.edit#init                                 398,0         398         398         0,0           1
df$SimpleDoc.edit#inject                                29,0          29          29         0,0           1
df$SimpleDoc.edit#load                                2917,0        2917        2917         0,0           1
df$SimpleDoc.edit#uiPermissions                          0,0           0           0         0,0           1
df$SimpleDoc.edit#xml                                    0,6           0           3         1,2           5
df$SimpleDoc.edit.actionsFrame#init                      0,0           0           0         0,0           1
df$SimpleDoc.edit.actionsFrame#inject                    3,0           3           3         0,0           1
df$SimpleDoc.edit.actionsFrame#load                      0,0           0           0         0,0           1
df$SimpleDoc.edit.cardAttachmentsFrame#init            385,0         385         385         0,0           1
df$SimpleDoc.edit.cardAttachmentsFrame#inject           14,0          14          14         0,0           1
df$SimpleDoc.edit.cardAttachmentsFrame#load            140,0         140         140         0,0           1
df$SimpleDoc.edit.cardCommentFrame#init                 55,0          55          55         0,0           1
df$SimpleDoc.edit.cardCommentFrame#inject                6,0           6           6         0,0           1
df$SimpleDoc.edit.cardCommentFrame#load                 18,0          18          18         0,0           1
df$SimpleDoc.edit.cardCommentFrame.cardCommentTextAreaFrame#init        11,0          11          11         0,0           1
df$SimpleDoc.edit.cardCommentFrame.cardCommentTextAreaFrame#inject         5,0           5           5         0,0           1
df$SimpleDoc.edit.cardCommentFrame.cardCommentTextAreaFrame#load        10,0          10          10         0,0           1
df$SimpleDoc.edit.cardCommentFrame@commentDs            17,0          17          17         0,0           1
df$SimpleDoc.edit.cardLinksFrame#init                    0,0           0           0         0,0           1
df$SimpleDoc.edit.cardLinksFrame#inject                  3,0           3           3         0,0           1
df$SimpleDoc.edit.cardLinksFrame#load                   24,0          24          24         0,0           1
df$SimpleDoc.edit.cardProcFrame#init                     7,0           7           7         0,0           1
df$SimpleDoc.edit.cardProcFrame#inject                  24,0          24          24         0,0           1
df$SimpleDoc.edit.cardProcFrame#load                    82,0          82          82         0,0           1
df$SimpleDoc.edit.cardProcFrame.cardRolesFrame#init         0,0           0           0         0,0           1
df$SimpleDoc.edit.cardProcFrame.cardRolesFrame#inject        10,0          10          10         0,0           1
df$SimpleDoc.edit.cardProcFrame.cardRolesFrame#load        47,0          47          47         0,0           1
